Version,,,,,,Date,Buffer,Minimum (weeks of supply),,2,,,,,,,,
2,,,,,,46114,30,Maximum (weeks of supply),,30,,,,,,,,
Vendor,LastReceipt,Component,Description,Net,Unit,Lead Time,Lead,QOH,Average Week,Projected,DOS,SOQ,Due,Parent Part,Demand,Open Orders,Net & Orders,Notes from Special Cases
Vendor,#N/A,Component Merged,#N/A,,Item-unit,Delv-days,#VALUE!,Qty-on-hand,0,#VALUE!,,#N/A,Date Merged,Parent Merged,Total Demand,Open Qty,#VALUE!,
0,UNIFORM COLOR COMPANY,CLR-9300,50-905 Deep Black,2.97,LB,3,46135,697,46.66711538,108.9943462,11.67785337,1000,46202,BWA9415A2,10,0,419,Uniform Color 
0,UNIFORM COLOR COMPANY,CLR-9300,50-905 Deep Black,2.97,LB,3,46135,697,46.66711538,99.66092308,10.67785337,1000,46203,BWA9414A1,8,0,411,Uniform Color 
0,UNIFORM COLOR COMPANY,CLR-9300,50-905 Deep Black,2.97,LB,3,46135,697,46.66711538,90.3275,9.677853372,1000,46204,BWA9415A2,41,0,370,Uniform Color 
0,UNIFORM COLOR COMPANY,CLR-9300,50-905 Deep Black,2.97,LB,3,46135,697,46.66711538,90.3275,9.677853372,1000,46204,BWA9315A1,2,0,368,Uniform Color 
0,UNIFORM COLOR COMPANY,CLR-9300,50-905 Deep Black,2.97,LB,3,46135,697,46.66711538,90.3275,9.677853372,1000,46204,BWA9416A2,35,0,333,Uniform Color 
0,UNIFORM COLOR COMPANY,CLR-9300,50-905 Deep Black,2.97,LB,3,46135,697,46.66711538,90.3275,9.677853372,1000,46204,BWA9414A1,46,0,287,Uniform Color 
0,UNIFORM COLOR COMPANY,CLR-9300,50-905 Deep Black,2.97,LB,3,46135,697,46.66711538,-115.0078077,-12.32214663,1000,46234,BWA9415A2,44,0,243,Uniform Color 
0,UNIFORM COLOR COMPANY,CLR-9300,50-905 Deep Black,2.97,LB,3,46135,697,46.66711538,-115.0078077,-12.32214663,1000,46234,BWA9416A2,43,0,200,Uniform Color 
0,UNIFORM COLOR COMPANY,CLR-9300,50-905 Deep Black,2.97,LB,3,46135,697,46.66711538,-115.0078077,-12.32214663,1000,46234,BWA9414A1,49,0,151,Uniform Color 
0,UNIFORM COLOR COMPANY,CLR-9300,50-905 Deep Black,2.97,LB,3,46135,697,46.66711538,-320.3431154,-34.32214663,1000,46266,BWA9315A1,2,0,149,Uniform Color 
0,UNIFORM COLOR COMPANY,CLR-9300,50-905 Deep Black,2.97,LB,3,46135,697,46.66711538,-320.3431154,-34.32214663,1000,46266,BWA9416A2,43,0,106,Uniform Color 
0,UNIFORM COLOR COMPANY,CLR-9300,50-905 Deep Black,2.97,LB,3,46135,697,46.66711538,-320.3431154,-34.32214663,1000,46266,BWA9414A1,49,0,57,Uniform Color 
0,UNIFORM COLOR COMPANY,CLR-9300,50-905 Deep Black,2.97,LB,3,46135,697,46.66711538,-320.3431154,-34.32214663,1000,46266,BWA9415A2,58,0,-1,Uniform Color 
0,UNIFORM COLOR COMPANY,CLR-9300,50-905 Deep Black,2.97,LB,3,46135,697,46.66711538,-525.6784231,-56.32214663,1000,46296,BWA9416A2,45,0,-46,Uniform Color 
0,UNIFORM COLOR COMPANY,CLR-9300,50-905 Deep Black,2.97,LB,3,46135,697,46.66711538,-525.6784231,-56.32214663,1000,46296,BWA9414A1,49,0,-95,Uniform Color 
0,UNIFORM COLOR COMPANY,CLR-9300,50-905 Deep Black,2.97,LB,3,46135,697,46.66711538,-525.6784231,-56.32214663,1000,46296,BWA9415A2,45,0,-140,Uniform Color 
0,UNIFORM COLOR COMPANY,CLR-9300,50-905 Deep Black,2.97,LB,3,46135,697,46.66711538,-721.6803077,-77.32214663,1000,46325,BWA9315A1,2,0,-142,Uniform Color 
0,UNIFORM COLOR COMPANY,CLR-9300,50-905 Deep Black,2.97,LB,3,46135,697,46.66711538,-721.6803077,-77.32214663,1000,46325,BWA9416A2,37,0,-179,Uniform Color 
0,UNIFORM COLOR COMPANY,CLR-9300,50-905 Deep Black,2.97,LB,3,46135,697,46.66711538,-721.6803077,-77.32214663,1000,46325,BWA9414A1,39,0,-218,Uniform Color 
0,UNIFORM COLOR COMPANY,CLR-9300,50-905 Deep Black,2.97,LB,3,46135,697,46.66711538,-721.6803077,-77.32214663,1000,46325,BWA9415A2,35,0,-253,Uniform Color 
0,UNIFORM COLOR COMPANY,CLR-9300,50-905 Deep Black,2.97,LB,3,46135,697,46.66711538,-927.0156154,-99.32214663,1000,46357,BWA9416A2,12,0,-265,Uniform Color 
0,UNIFORM COLOR COMPANY,CLR-9300,50-905 Deep Black,2.97,LB,3,46135,697,46.66711538,-927.0156154,-99.32214663,1000,46357,BWA9414A1,13,0,-278,Uniform Color 
0,UNIFORM COLOR COMPANY,CLR-9300,50-905 Deep Black,2.97,LB,3,46135,697,46.66711538,-927.0156154,-99.32214663,1000,46357,BWA9415A2,16,0,-294,Uniform Color 
0,UNIFORM COLOR COMPANY,CLR-9300,50-905 Deep Black,2.97,LB,3,46135,697,46.66711538,-1141.684346,-122.3221466,1000,46388,BWA9416A2,4,0,-298,Uniform Color 
0,UNIFORM COLOR COMPANY,CLR-9300,50-905 Deep Black,2.97,LB,3,46135,697,46.66711538,-1141.684346,-122.3221466,1000,46388,BWA9315A1,2,0,-300,Uniform Color 
0,UNIFORM COLOR COMPANY,CLR-9300,50-905 Deep Black,2.97,LB,3,46135,697,46.66711538,-1141.684346,-122.3221466,1000,46388,BWA9414A1,5,0,-305,Uniform Color 
0,UNIFORM COLOR COMPANY,CLR-9300,50-905 Deep Black,2.97,LB,3,46135,697,46.66711538,-1141.684346,-122.3221466,1000,46388,BWA9415A2,4,0,-309,Uniform Color 
0,UNIFORM COLOR COMPANY,CLR-9300,50-905 Deep Black,2.97,LB,3,46135,697,46.66711538,-1337.686231,-143.3221466,1000,46419,BWA9416A2,6,0,-315,Uniform Color 
0,UNIFORM COLOR COMPANY,CLR-9300,50-905 Deep Black,2.97,LB,3,46135,697,46.66711538,-1337.686231,-143.3221466,1000,46419,BWA9414A1,8,0,-323,Uniform Color 
0,UNIFORM COLOR COMPANY,CLR-9300,50-905 Deep Black,2.97,LB,3,46135,697,46.66711538,-1337.686231,-143.3221466,1000,46419,BWA9415A2,9,0,-332,Uniform Color 
0,UNIFORM COLOR COMPANY,CLR-9300,50-905 Deep Black,2.97,LB,3,46135,697,46.66711538,-1524.354692,-163.3221466,1000,46447,BWA9416A2,6,0,-338,Uniform Color 
0,UNIFORM COLOR COMPANY,CLR-9300,50-905 Deep Black,2.97,LB,3,46135,697,46.66711538,-1524.354692,-163.3221466,1000,46447,BWA9414A1,7,0,-345,Uniform Color 
0,UNIFORM COLOR COMPANY,CLR-9300,50-905 Deep Black,2.97,LB,3,46135,697,46.66711538,-1524.354692,-163.3221466,1000,46447,BWA9415A2,6,0,-351,Uniform Color 
8918,AVIENT COLORANTS USA LLC,CLR-9470,OC9UFA Omnicolor Black,10.63,0,3,46135,2,0.448769231,28.25655385,314.8227631,30,46097,WH7601,0,25,27,NEED TO VERIFY INVENTORY 
0,AVIENT COLORANTS USA LLC,CLR-9470,OC9UFA Omnicolor Black,10.63,LB,3,46135,2,0.448769231,25.47418462,283.8227631,30,46136,BWA9462A1,2,0,25,0
0,AVIENT COLORANTS USA LLC,CLR-9470,OC9UFA Omnicolor Black,10.63,LB,3,46135,2,0.448769231,22.3328,248.8227631,30,46185,BWA9462A1,3,0,22,0
0,AVIENT COLORANTS USA LLC,CLR-9470,OC9UFA Omnicolor Black,10.63,LB,3,46135,2,0.448769231,21.88403077,243.8227631,30,46192,BWA9462A1,5,0,17,0
0,AVIENT COLORANTS USA LLC,CLR-9470,OC9UFA Omnicolor Black,10.63,LB,3,46135,2,0.448769231,17.21683077,191.8227631,30,46266,BWA9462A1,3,0,14,0
0,AVIENT COLORANTS USA LLC,CLR-9470,OC9UFA Omnicolor Black,10.63,LB,3,46135,2,0.448769231,9.318492308,103.8227631,30,46388,BWA9462A1,3,0,11,0
0,AVIENT COLORANTS USA LLC,CLR-9508,OC5UFB Omnicolor Sky Blue,17.08,LB,3,46135,11,1.145538462,-1.142707692,-4.987644373,0,46188,BWA9508A1,3,0,8,Avient
0,AVIENT COLORANTS USA LLC,CLR-9508,OC5UFB Omnicolor Sky Blue,17.08,LB,3,46135,11,1.145538462,-6.8704,-29.98764437,0,46223,BWA9508A1,3,0,5,Avient
0,DOVE DIE & STAMPING CO,INS-0552,5075166 Bracket,1.82,EA,4,46142,46489,17400.57692,25608.30769,7.358465126,51000,46121,BWA9414A1,5130,0,41359, Do not schedule to deliver on Mondays
9483,DOVE DIE & STAMPING CO,INS-0552,5075166 Bracket,1.82,0,4,46142,46489,17400.57692,59207.73077,17.01315164,51000,46128,WH8065,0,51000,92359, Do not schedule to deliver on Mondays
0,DOVE DIE & STAMPING CO,INS-0552,5075166 Bracket,1.82,EA,4,46142,46489,17400.57692,45287.26923,13.01315164,51000,46134,BWA9414A1,8820,0,83539, Do not schedule to deliver on Mondays
0,DOVE DIE & STAMPING CO,INS-0552,5075166 Bracket,1.82,EA,4,46142,46489,17400.57692,27886.69231,8.013151642,51000,46141,BWA9414A1,11340,0,72199, Do not schedule to deliver on Mondays
0,DOVE DIE & STAMPING CO,INS-0552,5075166 Bracket,1.82,EA,4,46142,46489,17400.57692,13966.23077,4.013151642,51000,46147,BWA9414A1,7560,0,64639, Do not schedule to deliver on Mondays
0,DOVE DIE & STAMPING CO,INS-0552,5075166 Bracket,1.82,EA,4,46142,46489,17400.57692,7006,2.013151642,51000,46149,BWA9414A1,8820,0,55819, Do not schedule to deliver on Mondays
0,DOVE DIE & STAMPING CO,INS-0552,5075166 Bracket,1.82,EA,4,46142,46489,17400.57692,-6914.461538,-1.986848358,51000,46155,BWA9414A1,7560,0,48259, Do not schedule to deliver on Mondays
0,DOVE DIE & STAMPING CO,INS-0552,5075166 Bracket,1.82,EA,4,46142,46489,17400.57692,-20834.92308,-5.986848358,51000,46161,BWA9414A1,10080,0,38179, Do not schedule to deliver on Mondays
9483,DOVE DIE & STAMPING CO,INS-0552,5075166 Bracket,1.82,0,4,46142,46489,17400.57692,26684.96154,7.667838157,51000,46162,WH8065,0,51000,89179, Do not schedule to deliver on Mondays
0,DOVE DIE & STAMPING CO,INS-0552,5075166 Bracket,1.82,EA,4,46142,46489,17400.57692,9284.384615,2.667838157,51000,46169,BWA9414A1,12600,0,76579, Do not schedule to deliver on Mondays
0,DOVE DIE & STAMPING CO,INS-0552,5075166 Bracket,1.82,EA,4,46142,46489,17400.57692,5804.269231,1.667838157,51000,46170,BWA9414A1,8820,0,67759, Do not schedule to deliver on Mondays
0,DOVE DIE & STAMPING CO,INS-0552,5075166 Bracket,1.82,EA,4,46142,46489,17400.57692,-11596.30769,-3.332161843,51000,46177,BWA9414A1,8820,0,58939, Do not schedule to deliver on Mondays
0,DOVE DIE & STAMPING CO,INS-0552,5075166 Bracket,1.82,EA,4,46142,46489,17400.57692,-25516.76923,-7.332161843,51000,46183,BWA9414A1,10080,0,48859, Do not schedule to deliver on Mondays
0,DOVE DIE & STAMPING CO,INS-0552,5075166 Bracket,1.82,EA,4,46142,46489,17400.57692,-39437.23077,-11.33216184,51000,46189,BWA9414A1,8820,0,40039, Do not schedule to deliver on Mondays
9483,DOVE DIE & STAMPING CO,INS-0552,5075166 Bracket,1.82,0,4,46142,46489,17400.57692,8082.653846,2.322524673,51000,46190,WH8065,0,51000,91039, Do not schedule to deliver on Mondays
0,DOVE DIE & STAMPING CO,INS-0552,5075166 Bracket,1.82,EA,4,46142,46489,17400.57692,-2357.692308,-0.677475327,51000,46195,BWA9414A1,7560,0,83479, Do not schedule to deliver on Mondays
0,DOVE DIE & STAMPING CO,INS-0552,5075166 Bracket,1.82,EA,4,46142,46489,17400.57692,-12798.03846,-3.677475327,51000,46198,BWA9414A1,10080,0,73399, Do not schedule to deliver on Mondays
0,DOVE DIE & STAMPING CO,INS-0552,5075166 Bracket,1.82,EA,4,46142,46489,17400.57692,-23238.38462,-6.677475327,51000,46203,BWA9414A1,8820,0,64579, Do not schedule to deliver on Mondays
0,DOVE DIE & STAMPING CO,INS-0552,5075166 Bracket,1.82,EA,4,46142,46489,17400.57692,-26718.5,-7.677475327,51000,46204,BWA9414A1,52920,0,11659, Do not schedule to deliver on Mondays
9483,DOVE DIE & STAMPING CO,INS-0552,5075166 Bracket,1.82,0,4,46142,46489,17400.57692,17321.26923,4.977211189,51000,46206,WH8065,0,51000,62659, Do not schedule to deliver on Mondays
0,DOVE DIE & STAMPING CO,INS-0552,5075166 Bracket,1.82,EA,4,46142,46489,17400.57692,-52281.03846,-15.02278881,51000,46234,BWA9414A1,56700,0,5959, Do not schedule to deliver on Mondays
0,DOVE DIE & STAMPING CO,INS-0552,5075166 Bracket,1.82,EA,4,46142,46489,17400.57692,-128843.5769,-37.02278881,51000,46266,BWA9414A1,56700,0,-50741, Do not schedule to deliver on Mondays
0,DOVE DIE & STAMPING CO,INS-0552,5075166 Bracket,1.82,EA,4,46142,46489,17400.57692,-205406.1154,-59.02278881,51000,46296,BWA9414A1,56700,0,-107441, Do not schedule to deliver on Mondays
0,DOVE DIE & STAMPING CO,INS-0552,5075166 Bracket,1.82,EA,4,46142,46489,17400.57692,-278488.5385,-80.02278881,51000,46325,BWA9414A1,45360,0,-152801, Do not schedule to deliver on Mondays
0,DOVE DIE & STAMPING CO,INS-0552,5075166 Bracket,1.82,EA,4,46142,46489,17400.57692,-355051.0769,-102.0227888,51000,46357,BWA9414A1,15120,0,-167921, Do not schedule to deliver on Mondays
0,DOVE DIE & STAMPING CO,INS-0552,5075166 Bracket,1.82,EA,4,46142,46489,17400.57692,-435093.7308,-125.0227888,51000,46388,BWA9414A1,6300,0,-174221, Do not schedule to deliver on Mondays
0,DOVE DIE & STAMPING CO,INS-0552,5075166 Bracket,1.82,EA,4,46142,46489,17400.57692,-508176.1538,-146.0227888,51000,46419,BWA9414A1,8820,0,-183041, Do not schedule to deliver on Mondays
0,DOVE DIE & STAMPING CO,INS-0552,5075166 Bracket,1.82,EA,4,46142,46489,17400.57692,-577778.4615,-166.0227888,51000,46447,BWA9414A1,7560,0,-190601, Do not schedule to deliver on Mondays
